x	y	z	text
28.394547	-5.7289877	-19.167826	panniered skirt
-4.912975	-19.767065	-33.32429	meditative critic
2.226544	-38.497013	-7.586846	turkish trousers
-18.001507	16.724825	-0.040766474	at the moon
-18.893383	-15.651084	16.732332	great battle
9.085375	-4.954568	-34.566963	distant post
7.935399	-2.5489326	-34.482983	to a distant post
0.41317034	5.7329206	-6.408865	in the tent
-10.353696	-12.253093	-33.469006	topless towers
-8.095053	37.977997	-7.6383767	with the times
2.3674278	-5.2159357	36.08228	heavy rings
49.298157	4.6194944	-12.903041	golden grasshoppers
14.038446	-21.408812	-45.660675	unremembering nights
27.610199	21.336067	-3.4843667	fifteenth night
0.09774481	-3.1053712	-9.111673	in triumph
-24.116318	-20.006575	-22.042727	motionless head
22.422716	15.623763	28.311544	moonlit eyeballs
26.008343	22.207182	31.375107	never moved
-9.177446	-2.5186038	33.040585	on all things
-5.4251423	-10.824762	8.008467	little peace
19.688467	34.204414	-4.9363565	with the minute
7.185507	6.273899	4.5048523	of mankind
34.11815	18.642368	25.632965	yet seemed
-3.3770897	-9.491642	-11.142765	in contemplation
-9.455661	36.374474	-25.867638	so wrought
-1.0348852	41.34287	-26.417631	so stretched
44.036945	-15.018539	8.015987	crazy juice
4.4131	2.3941932	19.859394	of dancing
26.264505	26.601837	35.274918	never gave
13.563998	-17.041573	5.8696733	burning town
-4.1664877	26.809694	9.025848	of folly
3.0151815	9.728355	-29.185518	between the pull
-25.926504	17.932028	-0.4037384	dark moon
-23.558376	16.401924	-0.86871314	of the dark moon
-39.580303	7.7291536	-1.7711183	of thought
33.340275	-3.7757294	7.2043242	western seas
-3.2285166	-23.03965	-3.4649544	in a song
35.12733	27.415817	-22.456005	ruined house
-9.341723	-5.7758937	27.132862	for wind
-14.594289	27.758652	-17.566917	best labourer
-10.799496	-7.8701124	-22.479303	monstrous crying
20.62537	-3.32884	5.1784706	in the mind
32.982185	0.40303063	-7.0317345	at rest
34.96502	14.224255	-13.701203	from sleep
-39.545635	-9.296724	-14.264952	gentle silence
-14.542617	-22.381891	-11.824258	falling wave
25.233412	18.942362	-37.010525	windy fire
7.698361	-39.374474	-0.07525101	harmonious choir
4.192985	12.036009	21.123596	into peace
-28.183422	28.053297	5.1566963	old care
32.67552	-14.005487	-30.721016	flaming wings
-2.1665518	14.629104	8.266022	of sight
-16.33863	26.235266	-6.5103154	dim powers
-41.556934	4.0891805	-0.041617606	drowsy thought
-39.048912	4.761456	-0.6483935	of drowsy thought
-21.19513	8.395298	14.978501	pale cup
-18.606758	7.5800557	15.772021	like the pale cup
34.013775	-35.0786	8.023463	cloudy rim
9.454423	32.815598	2.0066793	with music
4.404833	44.446262	-11.638005	with woman
0.38067567	-0.24172656	19.913212	dancing silver
16.506624	-1.5924104	-32.268215	cold spirits
17.78219	-4.012147	-32.290813	up the cold spirits
-22.031706	22.420351	2.5563433	old moon
27.740679	23.3763	-12.229479	from the sky
10.516565	32.17383	30.816664	still hides
-31.793037	20.514492	20.137938	blank eyes
-29.337793	19.950066	18.9596	under blank eyes
11.812126	-21.903202	31.473406	own will
26.168615	11.578916	-14.194808	by these wire
20.116058	-35.44168	-24.737976	jointed jaws
26.818802	-32.692886	-32.37635	magical breath
25.529339	15.197501	39.54975	suddenly saw
-0.5776257	-33.318447	8.258738	imperious way
-1.805082	17.157915	-8.170079	of the room
-11.154339	22.736534	-33.2623	poor luck
12.028712	16.457048	24.50436	in pride
0.6389076	14.066432	13.205409	of air
41.159267	-2.3418121	-5.5532413	among dancers
26.409538	-21.699623	37.894905	furious path
8.628453	29.209145	-12.470376	new right
9.263212	27.820765	-14.860288	out new right
9.342096	12.805746	-26.074316	barbarous clangour
9.256958	12.418534	-23.476404	to the barbarous clangour
-6.519364	23.890862	12.044733	of a gong
16.916256	-17.787779	-26.585102	mythological poet
4.059342	-39.331253	13.0324	solitary soul
11.489252	11.32726	7.6770163	to a swan
11.090494	-19.690279	-6.0923696	troubled mirror
-7.193916	25.856945	-43.012432	brief gleam
31.200567	22.084818	0.84187406	approaching night
12.524298	-8.507906	-27.799566	floating ribbon
6.557957	-30.503094	33.67854	secret meditation
7.6000977	21.77813	0.07495627	amid the labyrinth
17.34557	7.0735216	-10.846884	in art
6.7720037	15.167567	-4.6735964	in the station
-10.520397	-38.520767	7.9473414	off body
-31.661026	-25.448267	8.1971035	ancient habit
-17.4843	-34.278763	-17.510845	lucky death
-8.234297	-1.762259	21.579475	for triumph
14.020771	11.041197	18.505882	desolate heaven
11.354961	10.8514	18.717829	into the desolate heaven
35.42435	-2.4286206	28.01812	bring wildness
0.18989004	-3.0661824	-48.899162	laborious life
4.922343	8.371478	5.8785205	afflict mankind
1.1783708	20.23643	13.08692	of cloth
-1.6971368	-44.96816	-1.0866369	shining web
-25.13826	9.732131	35.417606	had more charm
18.982851	-23.399776	32.234333	own blood
-35.083397	8.8518305	30.47119	too had
-40.66184	1.3531942	32.539215	pretty toys
-3.1763108	-33.465458	-39.140457	public opinion
-13.4905405	40.6719	23.871084	future days
-42.811745	9.859202	-5.4419813	fine thought
15.69524	-42.527386	-10.972239	worst rogues
-36.29925	-26.20098	4.8596706	ancient tricks
-13.54043	-16.918762	21.755945	great army
-27.582676	-17.8742	-6.790645	showy thing
6.4147406	11.73006	18.646013	into a ploughshare
-11.087147	-8.124614	4.0717726	little powder
12.525544	37.171093	-0.4006034	with trumpeting
16.455406	-10.600726	-20.901604	drunken soldiery
34.638573	12.634937	15.883957	go scot
42.125607	-6.1538706	-5.9602427	chinese dancers
12.525544	37.171093	-0.4006034	with terror
6.4147406	11.73006	18.646013	into philosophy
-20.17303	18.056517	9.527117	under a rule
14.138493	2.2391577	-4.6105337	in a hole
8.705737	16.902218	12.023834	of some intoxicant
33.66212	15.009541	-26.722572	shallow wits
33.57291	15.572593	-24.209902	from shallow wits
22.040861	-5.3273163	3.8237777	of mind
22.167969	-2.660352	17.749712	on master
9.138979	-29.444653	12.039493	mighty monument
20.82114	-14.820819	-1.9618542	ghostly solitude
3.6732867	-2.0623941	-6.567986	in bits
8.937753	13.24819	-11.918644	in the grasshoppers
-4.92742	14.988474	15.865768	of winter
-3.8897147	8.715837	10.874634	of honour
-30.522177	9.648438	2.1168344	of truth
14.95322	1.9792576	-9.402296	in pain
-4.736486	39.114906	-0.20146109	of stupid straw
-24.023365	4.200847	13.135722	pale locks
12.699196	-35.168545	-39.24488	insolent fiend
-17.326895	-6.3081045	-30.837795	bronzed peacock
2.1631389	-12.777801	22.075483	red combs
8.476291	23.752655	28.95502	still have
10.18029	18.26229	26.904692	have pride
39.88155	-2.8217096	31.001213	bring roses
16.392265	9.882879	-5.774844	in bloom
30.77909	-15.484088	40.035454	down the blinds
39.88155	-2.8217096	31.001213	bring fiddle
-0.3093367	16.116177	-8.89583	in the room
34.742737	18.446823	-19.34404	from wine
9.720291	34.5386	25.275173	still cries
12.525544	37.171093	-0.4006034	with pleasure
51.86372	-10.493144	-5.1162157	everlasting taper
-30.99882	2.0804331	43.165653	such praises
5.740332	-11.750459	-27.554436	unblemished lineaments
-11.587799	13.991479	43.919106	with no stain
8.535525	24.376375	-31.714502	by a bird
-8.081731	20.45007	5.395224	of duchesses
4.8281465	-22.98703	-37.14924	surpassing womankind
-9.353928	-2.0124722	25.771057	for pay
-11.044122	15.550632	45.65325	out stain
20.257961	34.973343	-1.0120399	with the elegance
5.802509	22.346119	-23.717468	young men
6.5619993	4.8327756	13.0276785	laughing eye
-22.889675	11.157038	37.21067	more charm
-3.1456132	40.529564	-1.4389896	stupid straw
-21.137064	15.258945	6.0074954	under the shadow
-32.698204	15.699109	17.245737	great eyes
14.900333	11.165607	5.134299	to the wind
-33.148838	7.0598702	42.770878	such burdens
-33.037975	7.8713894	39.774643	had such burdens
22.393942	-3.2352347	6.5885925	on the mind
-17.770826	-10.307796	39.96393	levelling wind
-30.878801	26.13694	18.032621	aching eyes
24.100286	19.790407	36.79658	never saw
26.251665	2.0879884	2.188421	at the sun
-3.4895728	-43.429333	-15.919237	fancied goodness
0.5246351	24.725924	-7.408946	of solitude
-16.042337	15.711041	-20.081135	foul storm
11.296363	6.962325	-9.217178	in mockery
-4.479998	22.280607	4.117948	of horses
-1.4298489	-54.468307	-1.907571	handsome riders
-15.187543	-43.381245	-23.735586	sensitive ear
-12.975118	-21.018084	-38.08582	tossing mane
-19.689035	-15.828297	-21.57484	gathers head
26.835417	-6.2856913	-32.435722	sudden blast
-19.642906	-18.97521	33.302834	dusty wind
-19.666782	-20.721832	35.34966	of dusty wind
2.5137773	23.190006	8.789449	of feet
4.3077374	18.94002	8.939835	of images
7.6385674	20.11964	-1.1998326	in the labyrinth
-4.298087	17.505291	2.8648078	of the wind
43.58658	-12.6246805	12.704513	crazy hand
12.709616	39.129795	24.102594	amorous cries
13.604751	38.517586	21.685215	with amorous cries
7.6096134	39.885246	21.80263	angry cries
-23.481441	-14.533767	-25.854067	fading head
3.4653876	20.959637	4.777454	of mine
16.01007	18.790854	-35.142406	wild fowl
-3.6319652	35.781982	7.21625	before earth
-28.110085	17.383469	9.539254	tender eyelids
19.431875	0.37405267	20.442244	on hopes
-18.471281	21.310411	35.20024	more turn
34.019596	36.060986	-2.8813348	bitter mystery
1.5905198	-29.96962	-13.131641	brazen cars
-4.7503595	10.530041	-0.14431112	of the wood
8.879048	44.81901	-17.345358	white breast
-12.628448	21.709957	-5.967777	dim sea
-11.130177	19.415255	-4.605225	of the dim sea
9.296549	27.72612	9.131393	wandering stars
10.975497	28.092407	12.599837	dishevelled wandering stars
18.14316	12.617924	-26.955929	among a crowd
1.3787855	-23.791018	-19.580212	silken dress
-31.583801	31.755709	-1.2033088	sleepy care
12.525544	37.171093	-0.4006034	with planets
-17.246449	12.153968	-35.833572	poured fish
6.4147406	11.73006	18.646013	into a pile
-4.5431213	-4.3873534	13.446831	little silver
8.742788	-1.6210536	11.602423	beloved isle
12.467543	0.44591308	-22.492027	beside star
34.21604	0.7617144	8.200785	laden seas
15.186847	1.8583089	36.431145	woven roofs
13.624452	2.3690076	34.299923	under the woven roofs
6.2316604	35.410877	-15.401784	new ease
-20.928411	10.342223	-14.154477	by the sands
19.864445	-3.7425954	22.50396	on money
16.469864	-4.120604	-11.209207	prudent years
11.788223	-23.503624	19.975733	plashy place
20.332905	0.6007226	37.421833	woven shade
42.76948	12.786372	1.9350641	deep wood
25.125578	-1.0595626	21.697716	on wing
20.911467	6.0061555	14.813712	on flame
10.144902	-17.549433	19.916763	in a strange place
44.65751	-9.816977	18.002249	accustomed hand
44.12134	-7.074271	19.226116	near no accustomed hand
-1.3822738	31.084139	-7.809955	of that land
-0.20386963	25.781786	-9.914371	in that solitude
-44.735405	-3.3318548	22.646896	planted cypress
13.92909	20.073519	5.070389	indifferent stars
13.896429	17.081335	5.7294025	to the indifferent stars
0.16882949	-6.466695	-35.956627	first love
1.5900518	12.438782	35.067326	now lies
-20.17303	18.056517	9.527117	under boards
2.3275628	-5.0403757	31.00644	heavy days
15.404898	18.312109	23.95908	coloured pride
-21.164728	8.542929	-27.139704	underneath the grass
17.412842	33.440556	-0.7586496	with the feet
40.835873	-2.48468	-20.17401	laid side
37.952347	-4.9628415	-21.115011	by side
0.41367456	-20.233887	-16.556353	embroidered dress
-2.19876	22.627438	22.78619	sad beauty
