Item,Frequency,Category
shone keen eyes,2,Dance-Related
little childer dear,2,Long Phrase
drowsy water rats,2,Long Phrase
true,2,Single Word
buoyed,2,Single Word
glad,2,Single Word
hushed,2,Single Word
need have,2,Short Phrase
flapping herons wake,2,Long Phrase
body perfection brought,2,Long Phrase
clouds flew high,2,Dance-Related
married,2,Single Word
voiced wildly trolled,2,Long Phrase
reddest stolen cherries,2,Long Phrase
won,2,Single Word
keen,2,Single Word
dancing silver sandalled,2,Dance-Related
wrought,2,Single Word
arise,2,Single Word
secret,2,Single Word
maiden,2,Single Word
sings,2,Dance-Related
come at last,2,Long Phrase
purple,2,Single Word
small cabin build,2,Long Phrase
dancing silver,2,Dance-Related
go now,2,Dance-Related
penal days rode,2,Long Phrase
better,2,Single Word
grey rock,2,Short Phrase
lake water lapping,2,Long Phrase
proud maiden,2,Short Phrase
sold,2,Single Word
hurried,2,Single Word
hear lake water,2,Dance-Related
cabin build there,2,Long Phrase
new still hides,2,Long Phrase
carried,2,Single Word
pebbly shore,2,Short Phrase
golden,2,Dance-Related
warmer,2,Single Word
fingers never still,2,Dance-Related
dart,2,Dance-Related
purr,2,Dance-Related
hidden magical breath,2,Long Phrase
glance,2,Single Word
lives,2,Single Word
above,2,Single Word
white stars tell,2,Long Phrase
so old,2,Short Phrase
moonlit eyeballs never,2,Dance-Related
waning,2,Single Word
long dark hair,2,Long Phrase
have peace now,2,Long Phrase
take life easy,2,Dance-Related
sheds faint odours,2,Long Phrase
equal,2,Single Word
moon burned dim,2,Long Phrase
care,2,Single Word
motionless head erect,2,Dance-Related
longer,2,Single Word
wore large holes,2,Long Phrase
shadowy hazel grove,2,Long Phrase
gentle silence wrought,2,Long Phrase
easy,2,Single Word
lonely melody,2,Dance-Related
winds ever blowing,2,Long Phrase
sat,2,Single Word
wet winds ever,2,Long Phrase
wore small holes,2,Long Phrase
grown old,2,Short Phrase
cold wet winds,2,Long Phrase
more gay,2,Dance-Related
miss,2,Single Word
kiss,2,Single Word
shining,2,Single Word
bent,2,Single Word
labouring,2,Single Word
creak gave,2,Short Phrase
had free lands,2,Dance-Related
blue,2,Single Word
glow,2,Dance-Related
battles never done,2,Dance-Related
cast round,2,Dance-Related
more turn aside,2,Dance-Related
foolish things,2,Dance-Related
old timid grace,2,Long Phrase
bear no more,2,Dance-Related
rules,2,Single Word
woven sails,2,Short Phrase
star shone faint,2,Dance-Related
weaving olden dances,2,Dance-Related
world more full,2,Dance-Related
brazen,2,Single Word
scented oaken press,2,Long Phrase
went away,2,Short Phrase
so wildly bred,2,Long Phrase
east wind despair,2,Long Phrase
gold embroidered dress,2,Dance-Related
poor foolish,2,Short Phrase
cage bird,2,Short Phrase
long gray ships,2,Long Phrase
glimmering,2,Single Word
ye little childer,2,Long Phrase
west wind made,2,Long Phrase
north wind afraid,2,Long Phrase
south wind brought,2,Long Phrase
mingling,2,Single Word
coloured,2,Single Word
scarce,2,Single Word
hears love sing,2,Dance-Related
fields grew fatter,2,Long Phrase
have as healthy,2,Long Phrase
gathered,2,Dance-Related
wandering water gushes,2,Dance-Related
dabbled hair gather,2,Dance-Related
laid,2,Single Word
dishevelled wandering stars,2,Dance-Related
over,2,Single Word
tender,2,Single Word
thrust,2,Single Word
sometimes,2,Single Word
feet go glimmering,2,Dance-Related
as healthy flesh,2,Long Phrase
strange thing surely,2,Dance-Related
grew fatter day,2,Long Phrase
white feet go,2,Dance-Related
chaunt,2,Single Word
grey,2,Single Word
replied,2,Single Word
feet laid side,2,Long Phrase
mourn,2,Single Word
sleeps so hard,2,Long Phrase
own sadness,2,Short Phrase
cage bird mate,2,Long Phrase
lone,2,Dance-Related
whereof stars,2,Short Phrase
so hard,2,Short Phrase
young man now,2,Dance-Related
man poured fish,2,Dance-Related
beaked hollow galleys,2,Long Phrase
pity,2,Single Word
planted cypress round,2,Dance-Related
nights hold fast,2,Dance-Related
dim gray,2,Short Phrase
dim gray sea,2,Long Phrase
cushioned otter skin,2,Dance-Related
changed,2,Single Word
loud brazen battle,2,Dance-Related
woman sleeps so,2,Dance-Related
soon,2,Single Word
high funeral gleam,2,Dance-Related
young man,2,Dance-Related
sweet far thing,2,Dance-Related
ruin untold,2,Short Phrase
long ships loose,2,Long Phrase
seeing,2,Dance-Related
rose,2,Single Word
little cry,2,Short Phrase
heart hung all,2,Dance-Related
little silver heads,2,Dance-Related
born,2,Single Word
bird mate,2,Short Phrase
more blinded,2,Dance-Related
sad hearts,2,Dance-Related
best labourer dead,2,Long Phrase
wild bird mate,2,Long Phrase
man grew red,2,Dance-Related
drank sweet wine,2,Dance-Related
wake,2,Single Word
indifferent,2,Single Word
left,2,Single Word
planted,2,Single Word
minded,2,Dance-Related
dim gray sands,2,Long Phrase
lost as soon,2,Long Phrase
tired,2,Single Word
unremembering nights hold,2,Dance-Related
lovely things,1,Dance-Related
go scot,1,Dance-Related
ingenious lovely,1,Short Phrase
own blood,1,Short Phrase
agree,1,Single Word
weasels fighting,1,Short Phrase
leap,1,Dance-Related
fine thought,1,Short Phrase
many ingenious lovely things,1,Dance-Related
sink unmanned,1,Dance-Related
happy,1,Single Word
off,1,Single Word
chinese dancers,1,Dance-Related
dared admit,1,Short Phrase
none dared,1,Dance-Related
furthest,1,Single Word
foot,1,Single Word
country round,1,Dance-Related
ghostly solitude,1,Short Phrase
weaving,1,Single Word
mighty monument,1,Short Phrase
honour leave,1,Short Phrase
olden,1,Dance-Related
shallow wits,1,Short Phrase
many ingenious,1,Dance-Related
comfort left,1,Short Phrase
white hand,1,Dance-Related
frothy,1,Single Word
tricks unlearned,1,Short Phrase
had many,1,Dance-Related
great army,1,Short Phrase
love easy,1,Short Phrase
had many pretty toys,1,Dance-Related
pensively apart,1,Short Phrase
take love,1,Short Phrase
many pretty,1,Dance-Related
curtained room,1,Short Phrase
little snow,1,Short Phrase
salley gardens,1,Short Phrase
too had many pretty toys,1,Dance-Related
pretty toys,1,Short Phrase
solemn,1,Single Word
law indifferent,1,Short Phrase
made old,1,Short Phrase
helpful,1,Single Word
curtained,1,Single Word
old wrong,1,Short Phrase
ancient tricks,1,Short Phrase
public opinion,1,Short Phrase
lays,1,Single Word
opinion ripening,1,Short Phrase
worst rogues,1,Short Phrase
future days,1,Short Phrase
warm,1,Single Word
leaves grow,1,Short Phrase
seemed sheer,1,Dance-Related
ancient image,1,Dance-Related
grass grows,1,Short Phrase
anxious,1,Single Word
drunken soldiery,1,Dance-Related
sheer miracle,1,Short Phrase
pitches common,1,Short Phrase
life easy,1,Dance-Related
now days,1,Short Phrase
drowsy chargers,1,Short Phrase
gushes,1,Single Word
powder burned,1,Short Phrase
ornamental bronze,1,Short Phrase
bathe,1,Single Word
showy thing,1,Dance-Related
take life,1,Dance-Related
olive wood,1,Short Phrase
slumbering,1,Single Word
pensively,1,Single Word
drop,1,Single Word
golden grasshoppers,1,Dance-Related
little powder,1,Short Phrase
too had,1,Short Phrase
leaning shoulder,1,Short Phrase
going,1,Dance-Related
too had many pretty,1,Dance-Related
clear,1,Single Word
loosens,1,Single Word
mown,1,Single Word
sown,1,Single Word
wandering cry,1,Dance-Related
huntsman loosens,1,Dance-Related
grew red,1,Short Phrase
own place,1,Short Phrase
leading aged,1,Short Phrase
wasted hands,1,Dance-Related
pleasant tongue,1,Dance-Related
now moves,1,Dance-Related
brown nose,1,Short Phrase
long brown,1,Short Phrase
star shone,1,Dance-Related
shone faint,1,Dance-Related
armchair goes,1,Dance-Related
little straws,1,Short Phrase
bare boreen,1,Short Phrase
sleepy streams,1,Short Phrase
pours round,1,Dance-Related
fingers move,1,Dance-Related
man grew,1,Dance-Related
wandering music,1,Dance-Related
new sorrow,1,Short Phrase
cold baby,1,Short Phrase
morn grew,1,Short Phrase
hound only,1,Short Phrase
grew frosty,1,Short Phrase
blind hound only lies,1,Long Phrase
weary woman,1,Dance-Related
