Phrase,Frequency
languid tail,1
myriad spots,1
pearly rim,1
ancient burden,1
whispering words,1
own tale,1
shouting days,1
with mirth,1
in the dew,1
glad singing,1
of old earth,1
dreamy youth,1
dream thou,1
on the brow,1
high comrade,1
slow steps,1
with slow steps,1
along the gleaming,1
humming sands,1
windy surges,1
to the stars,1
pale thrones,1
piteous story,1
old cry,1
in dreams,1
gentle valley,1
to the dewdrops,1
always listening,1
for the sound,1
own dropping,1
heavy story,1
own words,1
pearly heart,1
with myriad spots,1
of light,1
under the dawn,1
in sorrow,1
under pendulous lids,1
by the lone border,1
in that hour,1
of gentleness,1
tired child,1
first kiss,1
faded leaves,1
along the faded leaves,1
often worn,1
wandering hearts,1
faint meteors,1
like faint meteors,1
down the path,1
on the lone border,1
dead leaves,1
thrust dead leaves,1
in bosom,1
other loves,1
for other loves,1
through unrepining,1
lies eternity,1
continual farewell,1
otter skin,1
troubling seamen,1
drove tumult,1
from girl,1
fatter day,1
pendulous lids,1
of passion,1
boughs drop,1
sad souls,1
smooth lawn,1
on a smooth lawn,1
own image,1
enamelled sea,1
in the enamelled sea,1
lonely ship,1
woven hands,1
with woven hands,1
along the grass,1
along the sands,1
unquiet lands,1
of mortals,1
quiet bows,1
under quiet bows,1
indian star,1
burning heart,1
with the tide,1
burnished dove,1
feathered ways,1
with vapoury,1
among the water,1
long leaves,1
over the long leaves,1
over the mice,1
in the barley,1
of the rowan,1
of the waning,1
before the dawn,1
with mirthful songs,1
mirthful songs,1
dim glass,1
outer weariness,1
of outer weariness,1
in times,1
broken branches,1
through the broken branches,1
unresting thought,1
see men,1
tender eyes,1
true brother,1
of that company,1
angelic clan,1
in the world,1
blossoming age,1
light fall,1
flying feet,1
starry candles,1
light foot,1
rhyming tell,1
dim wisdoms,1
of the dim wisdoms,1
unto man,1
elemental beings,1
in flood,1
from man,1
pondering mind,1
austere ways,1
in austere ways,1
in the dim glass,1
to barrenness,1
ancient gaze,1
for all things,1
holy tree,1
from joy,1
holy branches,1
trembling flowers,1
changing colours,1
merry light,1
with merry light,1
hidden root,1
in the night,1
leafy head,1
for thee,1
bewildered branches,1
through bewildered branches,1
gentle strife,1
in gentle strife,1
flaming circle,1
shaken hair,1
of tender,1
subtle guile,1
only gaze,1
fatal image,1
broken boughs,1
with broken boughs,1
blackened leaves,1
under snows,1
by a storm,1
ever grieves,1
surely meet,1
ever journeys,1
under the sleepy ground,1
wandering earth,1
clanging space,1
endless reverie,1
nowise worship,1
dusty deeds,1
worship dusty deeds,1
after truth,1
only breeds,1
toiling only breeds,1
new dreams,1
starry men,1
from the starry men,1
optic glass,1
with the optic glass,1
whirling ways,1
cold star,1
in twain,1
human truth,1
melodious guile,1
in melodious guile,1
fretful words,1
thy fretful words,1
in ruth,1
pearly brotherhood,1
for words,1
lily wave,1
hapless faun,1
sleepy ground,1
flaming word,1
of the old time,1
under the moon,1
old time,1
of an eye,1
of night,1
in truth,1
consuming ecstasy,1
white foot,1
with white foot,1
coming times,1
of the gates,1
of the day,1
over the lonely,1
in a place,1
white arms,1
in the air,1
of a land,1
of tongue,1
antique joy,1
painted toy,1
restless head,1
sick children,1
changing things,1
dreary dancing,1
in dreary dancing,1
cracked tune,1
to the cracked tune,1
idle word,1
by the stammering,1
entangled story,1
of wind,1
